,title,paragraphs
14,Are vegan diets really good for the environment?,"Raising animals for meat, milk, and dairy production wastes resources and damages the environment on a massive scale. When fed to farm animals, a substantial portion of the calories and nutrients present in grains is turned to manure. This manure invariably pollutes local water supplies and chokes rivers and other bodies of water. Worse yet, the meat and dairy industries are now recognized as a leading contributor to climate change.
"
15,Do vegans get enough vitamin B12?,"Vegans can get B12 through fortified soy milk, marmite and savoury yeast flakes. B12 has also been added to some other vegan products (eg. some Sanitarium burgers, sausages and ice ‘creams’ – check labels though as some Sanitarium products contain eggs and dairy).

We recommend that vegans take a B12 supplement as any B12 present in plant foods is not easily absorbed into the body. It is important to also realise B12 is usually supplemented into ‘livestock’ animals diets too, so there is no ‘natural’ way for getting B12 in today’s society."
16,If we all went vegan – wouldn't all the animals die out?,"It's true that the number of animals will fall as farmers breed fewer and fewer animals as the years go by. Farmed animals live a controlled, distorted life, often filled with pain and fear. The vast majority of farmed animals are kept in indoor units where they never see the light of day. Those that are kept outside are only kept alive for a fraction of their natural lifespans before being slaughtered for meat - often in the most barbaric manner imaginable. All farmed animals are born to die at our command - a disgusting idea.  In a vegan world animals would not be kept for profit and greed but would be allowed to exist in their natural state and live their life in freedom."
17,"If we all went vegan, we’d be overrun with animals?","Farmed animals are not allowed to reproduce naturally and farmers only breed animals when they can make a profit out of doing so. As demand for meat goes down over time, so fewer and fewer animals will be bred. That means that we will not be overrun by millions of farmed animals, as some people seem to imagine. Eventually, the few that are left can be allowed to go free: pigs can root around in woodlands as it is natural for them to do, sheep will graze the hillsides like deer and so on. Their populations will find their own natural levels, just like every other animal."
18,"If you were stuck on a desert island, would you eat meat?","Maybe – but if you were stuck on a desert island you might have to run around naked, never take a shower and wipe your bottom with leaves: that doesn’t mean that you should do those things the rest of the time."
19,Is alcohol vegan?,"Most spirits are vegan, although there are the more obvious ones that contain cream or honey that are not. Most wines and beers go through a filtering process, often using animal products. Such filtering agents include milk, albumen (from eggs), isinglass (from the swim bladders of fish) and gelatine. Labelling regulations require allergens such as milk and egg to be listed on labels, but it is not a requirement for isinglass or gelatine. Coopers, Boags and Heineken beers are all vegan. While almost all German (and Belgian) beers are vegan because of their laws for purity!"
20,Is honey vegan?,"Honey is an animal product and is therefore avoided by vegans. Surprisingly, a lot of bees are factory farmed and live in unnatural conditions. The queen is often artificially inseminated, has her wings clipped and is replaced (killed) after 1 or 2 years (normal life span is around 5 years). Try using agave nectar, maple syrup or golden syrup instead."
21,Is it more expensive?,"Being vegan needn’t be more expensive than a diet containing animal products. Some of the cheapest and healthiest foods available are great staples of a vegan diet, including cereals, beans, rice, potatoes, lentils, pasta, bread, fruits and vegetables. If you’re eating a balanced diet that includes animal products, you likely already buy and enjoy many of these anyway. Some vegan items such as vegan milks and cheese can be more expensive than their non-vegan counterparts, but this additional outlay is likely to be balanced by the savings you make through not having to buy meat."
22,"Is it possible to really be vegan, when animal ingredients are everywhere?","Although it’s true that in today’s world, it is almost impossible to avoid using some non-vegan items or ingredients, it is also true that avoiding most of them is easier than you think. The rising number of vegans each year has created an increased demand for vegan products. So much so that today, there are many incredibly delicious, easily attainable, and easy to prepare substitutes that would have seemed miraculous to vegan pioneers, such as pizza and ice cream! "
23,Is palm oil vegan?,"In itself, palm oil is a vegetable product which does not need to involve the (ab)use of animals, and therefore is suitable for vegans. The palm oil and palm timber industries are rife with very bad practices. In the EU, palm oil used in food must now be labelled, but ingredients derived from palm oil in food and non-food products still do not have to be labelled."
24,Is veganism healthy?,"Well-planned vegan diets contain all the nutrients we need to remain healthy. The British Dietetic Association (BDA) is the professional association for dietitians in Great Britain and Northern Ireland. The BDA recognises that well-planned vegan diets can support healthy living in people of all ages. It's always a great idea to pay attention to nutritional needs, but this applies to everyone, not just vegans. Going vegan is great opportunity to pay more attention to your diet and health. The"
25,Isn’t it expensive to be vegan?,"There’s plenty of cheap yet high-quality vegan food out there, and the trick to finding it all is learning how to shop effectively. Once you learn a few basic shopping tips, it’s actually easier to eat an affordable vegan diet than one that contains animal products. The key to being vegan on the cheap is to buy unprocessed foods in bulk. Every good natural foods store has a bulk section where you can buy everything from beans to grains to nuts to granola. If you can keep most of your purchases to items costing under $3 a pound your grocery bill will be remarkably low."
26,It’s alright to eat animals if they’ve had a good life?,"Would it be alright to kill and eat people if they’d had a good life? And what do we mean by a ‘good’ life, anyway? In the case of animals, we certainly don’t mean a long one. ‘Meat’ animals are killed as babies in the case of lambs and veal calves or as soon as they become physically mature – the equivalent of human teenagers - and never get to lead any kind of adult life. Animals, of course, want to live just as much as we do. "
27,What about medicine? Is medicine vegan?,Medicines prescribed by doctors are normally first tested on non-human animals. This is unavoidable under current laws. What you can do is ask your doctor for medicines that possibly don't contain animal ingredients. Medicines usually come with an information leaflet listing the ingredients. Ask your pharmacist for advice too.
28,What can I use instead of cow’s milk?,"There is a wide variety of non-dairy milks available. Your local supermarket is likely to stock the more common items such as soy, almond and rice milks, and many health food shops, organic stores and Asian supermarkets offer less common ones such as nut, oat, quinoa and hemp milks. These products can be found both on the shelf and in the refrigerated sections."
29,What difference will one person giving up meat make?,"A huge difference. The average British meat eater consumes, in the course of their lifetime, 5 cattle, 20 pigs, 29 sheep and lambs, 780 chickens, 46 turkeys, 18 ducks, 7 rabbits, 1, geese and half-a-tonne of fish. That is a lot of lives saved. Just as importantly, the best advertisement for veganism is a healthy and happy vegan: if you turn vegan you will be able to influence others to become part of the movement towards a more compassionate and rational world."
30,What is a vegan?,"Veganism is a way of living which seeks to exclude, as far as is possible and practicable, all forms of exploitation of, and cruelty to, animals for food, clothing or any other purpose. "
31,Is veganism good for your health?,"While no diet can guarantee a long and healthy life, becoming vegan may improve your odds. That’s largely because a vegan diet eliminates a number of unhealthful foods, including red and cured meats—two foods strongly linked to colon cancer. Vegans also tend to eat far more vegetables and fruits than non-vegetarians. Studies consistently show that people who eat the most fruits and vegetables tend to enjoy better health."
32,Why go vegan?,"A vegan lifestyle prevents a tremendous amount of animal slaughter and suffering. It offers a potent way to shrink our environmental footprint, especially in regard to climate change. And a well-planned vegan diet can fuel the highest levels of fitness, while reducing our risk of various chronic diseases. Plus, the food is insanely delicious and it becomes more widely available every year."
33,Why not just avoid factory farmed foods?,"Unless specifically labeled to the contrary, you can assume that every animal product came from a factory farm. As we’ve seen, every sort of cruelty is rampant at these places. A number of omnivores have pushed back against factory farm cruelties by demanding higher animal welfare standards. Most natural foods stores and supermarkets sell specially-labeled animal products from farms that promise better animal welfare. Additionally, many small-scale meat and egg producers rent stalls at local farmers’ markets. At their best, alternative farms deliver genuine improvements over factory farms. That’s mainly because they refuse to partake in the cruelest farming practices, particularly with regard to confinement and crowding. And with this reduced crowding, mutilations like beak searing and tail-clipping can be eliminated. That’s because animals unstressed by crowding are far less likely to attack or bully one another."
34,Will I need to supplement calcium if I don’t eat dairy?,"Not necessarily, you can get an adequate amount of calcium from a vegan diet. Good sources of calcium include green leafy vegetables, baked beans, black beans, dried figs, tahini and almonds. As well as this most plant milks are fortified with calcium too. In Australia the recommended calcium intake for adults ranges from 1000 to 1300 mg of calcium per day."
35,When was veganism created?,The term “vegan” was coined by the British animal rights activist Donald Watson in the 1940s. “Vegan” describes the philosophy that animals should not be exploited and hurt for food or other purposes.
36,Can you be an athlete on a vegan diet?,"From ultramarathoner Rich Roll and Olympian Carl Lewis to US Open winner Serena Williams, vegans prove time and again that you don’t need to support animal torture to be a star athlete."
37,Don't cows like being milked though?,"Though it may seem obvious, many people have no idea that in order to produce milk, cows have to be pregnant or have just given birth. Like all other mammals, cows lactate for their babies."
38,Isn't fixing human suffering and caring for human life more important?,Who says we can’t be vegan AND work to end human suffering? By choosing a humane vegan diet you are helping people as well as animals! 
39,How do vegans make cake?,"Many vegans like to use egg replacers, which are easy to make at home. Typical substitutes can include things like banana, flaxseed, applesauce and chia seeds."
40,Are vegans against pets? Would a vegan have pets?,"Pets are a blurry area for veganism, the reason for being how they're acquired. Pet shop practices that bring pets into existence are harmful to animals. If you can rescue an animal and have all the correct facilities and ability to keep them happy and healthy - then there is no issue."
41,Are vegans against wool? What do vegans think of wool?,"Most vegans are against wool, this is because wool is obtained by raising sheep with the sole purpose of shearing their wollen fleece. "
42,Who is the oldest vegan?,"The woman Loreen Dinwiddie lived to the age of 109, including 88 years she stuck to a strict vegan diet."
43,Do vegans live longer?,"On average, vegans and vegetarians live longer – they have longer life expectancies than meat-eaters, and grow old with fewer health issues. ... But, on average, vegans and vegetarians do live longer – they have lower mortality rates than meat-eaters, and grow old with fewer health issues (1)."
44,What would happen if everyone was vegan?,"According to a new study, a nation of 320 million vegans would reduce greenhouse gas emissions from agriculture by some 28%, far less than the amount now produced by the livestock industry."
45,"Animals Would Eat Us if They Could, and They Eat Each Other","Animals do all sorts of things to each other (and to us), including eating each other. Does this make it okay for us to do the same thing? There are three main issues with this.

The first is that not all animals eat each other - cows, for instance, are herbivores, so it seems a little unfair for us to eat them on the basis of other animals eating each other.
The second, much bigger issue is that animal behavior doesn't excuse our own behavior, because animals aren't able to understand or act according to morality. Like infants, they aren't responsible for what they do. The fact that an infant poops and vomits all over me doesn't show that it's okay for me to poop and vomit all over you. Unlike the infant, I have the ability to make moral choices."
46,Why should animals have rights?,"Why should children have rights?Why should the mentally handicapped have rights?Why should dogs have rights? (BTW, our pets have LOTS of rights)

Why should people from other countries have rights?

Why should anyone other than yourself have rights?

The answer to those questions is all the same: Because it's the right thing to do, because we want the right to our own body and life, and we have the capacity to understand that other beings, whether they can voice this desire or not, should be entitled to the same right."
47,Would you kill animals to control an invaisive species?,"A species is considered invasive due to either rapid reproduction or rapid destruction of another species. A species which does not rapidly reproduce and/or cause a rapid decline in another species is not invasive, it is a threat. By definition, an invasive species must be dealt with using death. There a number of ways to control species threats such as displacement, isolation, deterrence or other methods, however, invasive-species are are ones which adversely affect the environment.

Invasive animal species are quite often characterized as fast breeding, rapid growth, ability to live off a wide range of food types, strong tolerance to environmental changes and phenotypic plasticity.

What this means is a successful invasive species can eat anything, reproduces and grows fast, spreads quickly, is robust to environmental change and is able to rapidly change its immediate evolution (phenotype) to suit the demands of the new region. It becomes apparent quite quickly that there are two problems, invasive species compete for food and territory and food, as well as over-exhausting prey populations & they, outbreed native species.

There is only one solution to combat invasive species, you must ensure they don't breed. You could try to relocate them, but due to their rapid reproduction and growth and alarming dispersal, if they're not placed in a suitable ecosystem, they will become invasive in that one too. To ensure invasive species don't breed, you can either neuter them or you can kill them.

To break that down - neutering is a resource intensive solution and as identified, invasive species rapidly reproduce and mature. By the time a species is declared invasive, that is already a substantial population to capture, neuter and then release, to then cause destruction and death to the rest of the environment. The other problem with the solution of neutering is that if you see a feral animal, there is no effective way to tell if it is neutered or not.

The alternative is to simply declare those feral animals in certain areas to be killed. This is highly cost-effective and resource efficient, so much so that there is an actual industry for profitable varmit control - there is not a profitable industry for environmental conservation."
48,Would you eat roadkill?,"Roadkill is a great source of meat for obligate carnivores. If humans want to eat it, feel free, but since it is by no means necessary, I can't for the life of me understand why someone would."
49,Can zoos be ethical?,"There are three main ethical problems with zoos:

They normalize the idea that animals are only good for human pleasure and entertainment.

The animals on display are often kept in cramped, unnatural environments that take a toll on their mental health and general well being.

Keeping predators means keeping a supply chain of cheap meat to feed them. Zoos make little to no effort to ethically source their animal feed.

It's possible in principle to overcome these obstacles. It requires putting the animals' interests strictly higher than the human zoo patrons'. In practice, I think this would look more like an animal sanctuary than a zoo."
50,Where do vegans get Iron from?,"Iron is also a mineral, so it also comes from the ground like calcium. Most people can accept the mineral issue once you point it out to them but still have a hard time imagining that you can obtain enough iron through plants alone."
51,What About Omega 3 Fatty Acids?,"flax and chia are chock full of omega 3 fats, as are walnuts and hemp seeds"
52,is soy or soya bad for us?,"Evidence suggests that soya is not a threat to our health and is in fact a reliable and healthy protein source. Vegans aren't required to eat soya and it's possible to enjoy a healthy, well-balanced diet without it."
53,Can my dog/cat go vegan?,"Generally speaking most dogs and cats can follow a vegan diet. There are several good brands of vegan animal food available across the world, and these can be ordered online or found in some vegan stores. Dogs and particularly cats need an amino acid called taurine, which must be present in their food as it is essential for their wellbeing. This amino acid is found in animal products: however, it is also synthetically created on a commercial scale and is added to good quality vegan animal foods"
54,How many vegans are there in the UK?,"We found the number of vegans in Great Britain has quadrupled from 2014 to 2019. The numbers rose from 0.25% (150,000) of the population in 2014 to 0.46% (276,000) in 2016 to 1.16% in 2019 (600,000)."
55,If an animal is dead already can we eat them?,"We can go onto say that the animals are bred purely for you to eat them, so stop eating them and they will stop being bred for slaughter. Last year 400 million less animals were bred to be killed due to people decreasing their meat intake."
56,Which country is best for vegans?," The UK was the most popular country for veganism in 2019, according to Google Trends, followed by the Australia and New Zealand."
57,How many chickens are killed each year?,"Globally, more than 66 billion chickens are reared annually as a source of food, for both their meat and eggs."
58,Is Wet n Wild Cruelty-Free?,"The company wet n wild has expanded sales of its products to China but remains cruelty-free. Its products have not been tested on animals there, and it has worked with PETA to take the additional steps required to ensure that no tests on animals will be conducted for its products in the future.
In 2014, two years after PETA revealed that some cosmetics companies were paying the Chinese government to conduct tests on animals in order to market them there, the government announced a regulatory change that enables companies that manufacture non-special use cosmetics in China to sell them without tests on animals. Non-special use cosmetics include products such as foundation, eyeshadow, lipstick, mascara, and perfumes that don’t make a “functional” claim. These products must be manufactured in China in order to qualify for the exemption.
In order to be eligible for inclusion on PETA’s Beauty Without Bunnies cruelty-free list, companies that sell in China may only sell domestically manufactured (made in China) non-special use cosmetics. They must commit to not introducing any products that would require tests on animals; commit to withdrawing their products from the region rather than allowing any tests on animals, should they become required; and inform Chinese authorities of this policy to ensure that they are notified and can withdraw from the market in the unlikely event that tests on animals become required for their products.
We’re happy to report that wet n wild has met all the requirements of our Beauty Without Bunnies program and remains cruelty-free while selling products in China.
"
59,What is speciesism?,"“Speciesism” is the human-held belief that all other animal species are inferior. Speciesist thinking involves considering animals—who have their own desires, needs, and complex lives—as means to human ends. This supremacist line of “reasoning” is used to defend treating other living, feeling beings as property, objects, or even ingredients. It’s a bias rooted in denying others their own agency, interests, and self-worth, often for personal gain.
This toxic worldview also leads humans to draw non-existent distinctions between animal species, based solely on the purpose that those animals might serve. For example, most humans wouldn’t dream of treating their dog the way pigs are treated in the food industry, even though pigs are able to experience the same pain, joy, fear, and misery that canines do. Many humans wear coats lined with fur trim taken from trapped coyotes or sleep on a pillow stuffed with feathers pulled from a screaming goose, but they’d never consider ripping fistfuls of fur out of a crying kitten’s back with their own hands. It’s speciesist to believe that farmed and captive animals don’t suffer or feel emotions to the same extent as the animals with whom we lovingly share our homes.
PETA’s mission statement says, “Animals are not ours to experiment on, eat, wear, use for entertainment, or abuse in any other way.” This means that animals are individuals—their own people—and have the right to live free from human exploitation. Speciesism is the ugly counterpoint to this truth. Although it goes unnoticed by most people, speciesism has devastating real-world effects on billions of animals. That’s why PETA—and compassionate people everywhere—work hard to fight it.

"
60,Is it OK to eat eggs from chickens I’ve raised in my backyard?,"As an animal rights group, we cannot condone using animals for any reason, which is why PETA promotes a healthy vegan lifestyle. However, we would not oppose eating eggs from chickens treated as companions if the birds receive excellent care and are not purchased from hatcheries. Make sure you’re ready for the commitment of adopting chickens, as they will continue to be a part of your family long after they stop producing eggs.
Hatcheries breed chickens to have “desirable” traits despite any negative effects this inbreeding may have on their health. It’s also common for sickly chicks to be tossed out and left to die, while male chicks, who don’t produce eggs and are seen as disposable, are often ground up while still alive. Doing business with hatcheries encourages them to continue to breed and hurt chickens. The only ethical way to obtain chickens is to adopt them from animal shelters or rescue groups that have the birds’ best interests at heart.
You should also know that chickens require specialized veterinary care—something that many veterinarians, who are used to working with dogs and cats, will not be able to provide.
Many people choose not to eat eggs for health reasons. All eggs, regardless of their origin, are high in fat and cholesterol and don’t contain any fiber. In many studies, researchers have found that higher levels of cholesterol are linked to a greater risk of having a heart attack. For every 1 percent increase in the amount of cholesterol in your blood, there is a 2 percent increase in your risk of having a heart attack. Conversely, every 1 percent reduction in your cholesterol level reduces your risk by 2 percent. Elevated cholesterol—anything above 150—promotes atherosclerosis, the buildup of cholesterol, fat, and cells in the arteries that feed the heart. When these arteries become clogged, a section of this muscle loses its blood supply. The result is a heart attack.
The best thing that anyone can do to help animals is to choose not to eat them, and we have so many choices as consumers that there’s simply no reason to use animals to feed ourselves. By making this choice, you’ll be helping animals and yourself as well: A vegan diet helps prevent strokes, osteoporosis, kidney stones, many types of cancer, diabetes, hypoglycemia, kidney disease, peptic ulcers, hernias, obesity, gallstones, hypertension, asthma, and many other medical conditions and diseases.
"
61,What is veganism's stance on faux fur?,"Our goal is to reduce the sum total of animal suffering. For people who want the look of real fur, faux fur can be a good alternative. It’s important to note, though, that news reports have indicated that major retailers have been found selling real fur that was mislabeled as faux. Of course, if you ever have any doubts about whether an item contains real or faux fur, the best choice is to avoid it altogether.
We understand and respect that many people choose not to purchase any faux-fur or faux-leather products, as they don’t want to promote the fashion. For those who do wear fakes, PETA has pins and stickers to help people make it clear that their jackets and other items weren’t made from animals.
"
62,Is tattoo ink vegan?,"A tattoo can be a creative, eye-catching way to display your passion for animal rights. However, some tattoo inks are actually made with animal products. Nonvegan varieties may contain bone char, glycerin from animal fat, gelatin from hooves, or shellac from beetles. So as you’re checking out tattoo shops, ask if they use vegan inks or if they can order some for you. Some great vegan brands include Eternal, StarBrite, SkinCandy, and Stable Color. You may also want to take along your own razor, since the ones they have in-house may have a gel strip made from glycerin. And of course, you’ll want your tattoo-care products to be vegan as well. Try The Merry Hempsters Vegan Hemp Tattoo Balm, Black Cat Vitamin Infusion Serum, Ohana Organics Tattoo Butter, or even jojoba oil, olive oil, or shea butter. No matter what artwork you choose, your vegan tattoo will be an animal rights conversation piece!
"
63,What is gelatin made of?,"Gelatin is a protein obtained by boiling skin, tendons, ligaments, and/or bones with water. It is usually obtained from cows or pigs. Gelatin is used in shampoos, face masks, and other cosmetics; as a thickener for fruit gelatins and puddings (such as Jell-O); in candies, marshmallows, cakes, ice cream, and yogurts; on photographic film; and in vitamins as a coating and as capsules, and it is sometimes used to assist in “clearing” wines. Gelatin is not vegan. However, there is a product called “agar agar” that is sometimes marketed as “gelatin,” but it is vegan. It is derived from a type of seaweed.

Kosher symbols and markings are not reliable indicators on which vegans or vegetarians should base their purchasing decisions. This issue is complex, but the “K” or “Kosher” symbols basically mean that the food-manufacturing process was overseen by a rabbi, who theoretically ensures that it meets Hebrew dietary laws. The food also may not contain both dairy products and meat, but it may contain one or the other. “P” or “Parve” means that the product contains no meat or dairy products, but it may contain fish or eggs. Kosher gelatin is usually made from a fish source. “D,” as in “Kosher D,” means that the product either contains milk or was made with dairy machinery. For example, a chocolate and peanut candy may be marked “Kosher D” even if it doesn’t contain milk because the nondairy chocolate was manufactured on machinery that also made milk chocolate.
Can’t believe that your Jell-O actually was alive? Check out more disgusting things that might be hiding in your food.
"
64,How do aquariums treat marine mammals?,"Marine mammals—highly intelligent, sensitive, social beings—suffer greatly in captivity. The chlorine and copper sulfate used to keep tanks clean has caused dolphins’ skin to peel off and may cause them to go blind. Many marine mammals suffer from peptic ulcers, often resulting in death, because of frustration from their unnatural lives in captivity. Captivity also tears families apart. In the wild, orcas often spend their entire lives with their mothers and siblings. Wild dolphins swim together in family pods of three to 10 individuals or in tribes of hundreds.
While the aquarium industry claims that it exists purely for education and conservation, what aquariums really teach is that it is acceptable to keep animals in captivity, bored, cramped, lonely, far from their natural homes, and at the mercy of people. Marine mammal conservation is achieved through the abolition of whaling, the cleanup of our oceans, the end of driftnet fishing, and a prohibition on live captures—not through forcing whales and dolphins to swim in endless circles for our entertainment.
Captive displays stand in contrast to the truly educational experiences that many facilities offer, such as the opportunity to see marine mammals swim freely in their ocean home via whale- and dolphin-watching boat trips. Aquariums could also broadcast real-time videos of marine mammal rehabilitation efforts into their theaters, on the Internet, and into classrooms. There are countless ways to educate the public and cultivate respect for animals without imprisoning dolphins and whales—it’s time to put the focus on teaching visitors how to protect marine life rather than harm it. For more information, see PETA’s factsheet on Marine Mammal Parks.
"
65,L’Oréal is included on veganism's “do test” list. What does that mean?,
