title,paragraphs
What about medicine?,Medicines prescribed by doctors are normally first tested on non-human animals. This is unavoidable under current laws. What you can do is ask your doctor for medicines that possibly don't contain animal ingredients. Medicines usually come with an information leaflet listing the ingredients. Ask your pharmacist for advice too.
What can I use instead of cow’s milk?,"There is a wide variety of non-dairy milks available. Your local supermarket is likely to stock the more common items such as soy, almond and rice milks, and many health food shops, organic stores and Asian supermarkets offer less common ones such as nut, oat, quinoa and hemp milks. These products can be found both on the shelf and in the refrigerated sections."
What difference will one person giving up meat make?,"A huge difference. The average British meat eater consumes, in the course of their lifetime, 5 cattle, 20 pigs, 29 sheep and lambs, 780 chickens, 46 turkeys, 18 ducks, 7 rabbits, 1, geese and half-a-tonne of fish. That is a lot of lives saved. Just as importantly, the best advertisement for veganism is a healthy and happy vegan: if you turn vegan you will be able to influence others to become part of the movement towards a more compassionate and rational world."
What is a vegan?,"Veganism is a way of living which seeks to exclude, as far as is possible and practicable, all forms of exploitation of, and cruelty to, animals for food, clothing or any other purpose. "
Is veganism good for your health?,"While no diet can guarantee a long and healthy life, becoming vegan may improve your odds. That’s largely because a vegan diet eliminates a number of unhealthful foods, including red and cured meats—two foods strongly linked to colon cancer. Vegans also tend to eat far more vegetables and fruits than non-vegetarians. Studies consistently show that people who eat the most fruits and vegetables tend to enjoy better health."
Why go vegan?,"A vegan lifestyle prevents a tremendous amount of animal slaughter and suffering. It offers a potent way to shrink our environmental footprint, especially in regard to climate change. And a well-planned vegan diet can fuel the highest levels of fitness, while reducing our risk of various chronic diseases. Plus, the food is insanely delicious and it becomes more widely available every year."
Why not just avoid factory farmed foods?,"Unless specifically labeled to the contrary, you can assume that every animal product came from a factory farm. As we’ve seen, every sort of cruelty is rampant at these places. A number of omnivores have pushed back against factory farm cruelties by demanding higher animal welfare standards. Most natural foods stores and supermarkets sell specially-labeled animal products from farms that promise better animal welfare. Additionally, many small-scale meat and egg producers rent stalls at local farmers’ markets. At their best, alternative farms deliver genuine improvements over factory farms. That’s mainly because they refuse to partake in the cruelest farming practices, particularly with regard to confinement and crowding. And with this reduced crowding, mutilations like beak searing and tail-clipping can be eliminated. That’s because animals unstressed by crowding are far less likely to attack or bully one another."
Will I need to supplement calcium if I don’t eat dairy?,"Not necessarily, you can get an adequate amount of calcium from a vegan diet. Good sources of calcium include green leafy vegetables, baked beans, black beans, dried figs, tahini and almonds. As well as this most plant milks are fortified with calcium too. In Australia the recommended calcium intake for adults ranges from 1000 to 1300 mg of calcium per day."
When was veganism created?,The term “vegan” was coined by the British animal rights activist Donald Watson in the 1940s. “Vegan” describes the philosophy that animals should not be exploited and hurt for food or other purposes.
Can you be an athlete on a vegan diet?,"From ultramarathoner Rich Roll and Olympian Carl Lewis to US Open winner Serena Williams, vegans prove time and again that you don’t need to support animal torture to be a star athlete."
Don’t cows need to be milked?,"Though it may seem obvious, many people have no idea that in order to produce milk, cows have to be pregnant or have just given birth. Like all other mammals, cows lactate for their babies."
What about human suffering?,Who says we can’t be vegan AND work to end human suffering? By choosing a humane vegan diet you are helping people as well as animals! 
How do vegans make cake?,"Many vegans like to use egg replacers, which are easy to make at home. Typical substitutes can include things like banana, flaxseed, applesauce and chia seeds."
Are vegans against pets?,"Pets are a blurry area for veganism, the reason for being how they're acquired. Pet shop practices that bring pets into existence are harmful to animals. If you can rescue an animal and have all the correct facilities and ability to keep them happy and healthy - then there is no issue."
Are vegans against wool?,"Most vegans are against wool, this is because wool is obtained by raising sheep with the sole purpose of shearing their wollen fleece. "
Who is the oldest vegan?,"The woman Loreen Dinwiddie lived to the age of 109, including 88 years she stuck to a strict vegan diet."
Do vegans live longer?,"On average, vegans and vegetarians live longer – they have longer life expectancies than meat-eaters, and grow old with fewer health issues. ... But, on average, vegans and vegetarians do live longer – they have lower mortality rates than meat-eaters, and grow old with fewer health issues (1)."
What would happen if everyone was vegan?,"According to a new study, a nation of 320 million vegans would reduce greenhouse gas emissions from agriculture by some 28%, far less than the amount now produced by the livestock industry."
"Animals Would Eat Us if They Could, and They Eat Each Other","Animals do all sorts of things to each other (and to us), including eating each other. Does this make it okay for us to do the same thing? There are three main issues with this.

The first is that not all animals eat each other - cows, for instance, are herbivores, so it seems a little unfair for us to eat them on the basis of other animals eating each other.
The second, much bigger issue is that animal behavior doesn't excuse our own behavior, because animals aren't able to understand or act according to morality. Like infants, they aren't responsible for what they do. The fact that an infant poops and vomits all over me doesn't show that it's okay for me to poop and vomit all over you. Unlike the infant, I have the ability to make moral choices."
Why should animals have rights?,"Why should children have rights?Why should the mentally handicapped have rights?Why should dogs have rights? (BTW, our pets have LOTS of rights)

Why should people from other countries have rights?

Why should anyone other than yourself have rights?

The answer to those questions is all the same: Because it's the right thing to do, because we want the right to our own body and life, and we have the capacity to understand that other beings, whether they can voice this desire or not, should be entitled to the same right."
Would you kill animals to control an invaisive species?,"A species is considered invasive due to either rapid reproduction or rapid destruction of another species. A species which does not rapidly reproduce and/or cause a rapid decline in another species is not invasive, it is a threat. By definition, an invasive species must be dealt with using death. There a number of ways to control species threats such as displacement, isolation, deterrence or other methods, however, invasive-species are are ones which adversely affect the environment.

Invasive animal species are quite often characterized as fast breeding, rapid growth, ability to live off a wide range of food types, strong tolerance to environmental changes and phenotypic plasticity.

What this means is a successful invasive species can eat anything, reproduces and grows fast, spreads quickly, is robust to environmental change and is able to rapidly change its immediate evolution (phenotype) to suit the demands of the new region. It becomes apparent quite quickly that there are two problems, invasive species compete for food and territory and food, as well as over-exhausting prey populations & they, outbreed native species.

There is only one solution to combat invasive species, you must ensure they don't breed. You could try to relocate them, but due to their rapid reproduction and growth and alarming dispersal, if they're not placed in a suitable ecosystem, they will become invasive in that one too. To ensure invasive species don't breed, you can either neuter them or you can kill them.

To break that down - neutering is a resource intensive solution and as identified, invasive species rapidly reproduce and mature. By the time a species is declared invasive, that is already a substantial population to capture, neuter and then release, to then cause destruction and death to the rest of the environment. The other problem with the solution of neutering is that if you see a feral animal, there is no effective way to tell if it is neutered or not.

The alternative is to simply declare those feral animals in certain areas to be killed. This is highly cost-effective and resource efficient, so much so that there is an actual industry for profitable varmit control - there is not a profitable industry for environmental conservation."
Would you eat roadkill?,"Roadkill is a great source of meat for obligate carnivores. If humans want to eat it, feel free, but since it is by no means necessary, I can't for the life of me understand why someone would."
Can zoos be ethical?,"There are three main ethical problems with zoos:

They normalize the idea that animals are only good for human pleasure and entertainment.

The animals on display are often kept in cramped, unnatural environments that take a toll on their mental health and general well being.

Keeping predators means keeping a supply chain of cheap meat to feed them. Zoos make little to no effort to ethically source their animal feed.

It's possible in principle to overcome these obstacles. It requires putting the animals' interests strictly higher than the human zoo patrons'. In practice, I think this would look more like an animal sanctuary than a zoo."
Where do vegans get Iron from?,"Iron is also a mineral, so it also comes from the ground like calcium. Most people can accept the mineral issue once you point it out to them but still have a hard time imagining that you can obtain enough iron through plants alone."
What About Omega 3 Fatty Acids?,"flax and chia are chock full of omega 3 fats, as are walnuts and hemp seeds"
is soy or soya bad for us?,"Evidence suggests that soya is not a threat to our health and is in fact a reliable and healthy protein source. Vegans aren't required to eat soya and it's possible to enjoy a healthy, well-balanced diet without it."
Can my dog/cat go vegan?,"Generally speaking most dogs and cats can follow a vegan diet. There are several good brands of vegan animal food available across the world, and these can be ordered online or found in some vegan stores. Dogs and particularly cats need an amino acid called taurine, which must be present in their food as it is essential for their wellbeing. This amino acid is found in animal products: however, it is also synthetically created on a commercial scale and is added to good quality vegan animal foods"
How many vegans are there in the UK?,"We found the number of vegans in Great Britain has quadrupled from 2014 to 2019. The numbers rose from 0.25% (150,000) of the population in 2014 to 0.46% (276,000) in 2016 to 1.16% in 2019 (600,000)."
If an animal is dead already can we eat them?,"We can go onto say that the animals are bred purely for you to eat them, so stop eating them and they will stop being bred for slaughter. Last year 400 million less animals were bred to be killed due to people decreasing their meat intake."
Which country is best for vegans?," The UK was the most popular country for veganism in 2019, according to Google Trends, followed by the Australia and New Zealand."
How many chickens are killed each year?,"Globally, more than 66 billion chickens are reared annually as a source of food, for both their meat and eggs."
