title,paragraphs
Do animals suffer?,"Animals have the same evolutionary past as us and the same reporting mechanisms for pain that we do; a brain and central nervous system. They also produce the same reactions in scenarios where pain would arise; they flinch and make noises of distress. There’s strong evidence too that animals experience mental suffering. In stressful situations vertebrates have been found to release adrenally-derived glucocorticoid hormones which “drive gluconeogenesis, suppress reproductive processes, alter movement and feeding rates, impact immune functions, and generally help an individual enter a ‘state of emergency’ when an environmental stressor induces their release”. Fish too, for example, “experience a rise in cortisol” (commonly known as the stress hormone) when confronted with factors capable of producing fear. There is even evidence that animals can experience mental illnesses just as we do."
Do plants suffer?,"Plants have input and output reactions to certain stimulation, for example photosynthesis, but they can’t experience pain or mental suffering due to not having a brain or central nervous system. Being vegan actually reduces the number of plants eaten because the animals we eat have to be fed on vast quantities of plants. Producing a kilogram of beef requires 25 kilograms of grain, one kilogram of pork requires nine kilograms of grain and one kilogram of chicken requires three kilograms of grain. This is also why the argument that eating meat is better than being vegan because more insects and small animals are killed in plant agriculture does not hold."
Do you have to sacrifice taste or variety?,"Not at all. Most of the flavour that we enjoy in foods comes from spices, herbs, salt and sugar, which are all plants. The Vegan Society has an excellent list of recipes for different styles and purposes and there’s so many out there that you’re bound to find vegan dishes you like. Variety also needn’t be an issue for vegans. There are myriad forms of fruits (68 here), vegetables (75 here), grains (21 here), legumes (hundreds here) and vegan meat and dairy substitutes."
"Does producing milk, cheese and eggs cause suffering?","These processes indeed cause great suffering to animals. Mother cows need to be pregnant to produce milk so from 15 months old they are forced into confined spaces every two or three months and artificially impregnated. After birth, the calf is removed from the mother within 36 hours; if the calf is male, he will likely be sold to be raised for veal or if there isn’t enough demand, he will be shot. The Drum reported in 2012 that 90,000 male calves are shot dead each year for this reason. If the calf is female, she will often be prepared to be a mother calf.Normally, a cow holds at most two litres of milk in her udder but the antibiotics farmers use for optimum milk production cause cows to carry 20 litres at any one time. The weight of this often makes cows lame or causes painful inflammation of the mammary glands (mastitis). Cows naturally live for up to 25 years but after 5 years of producing milk in these conditions their yield will no longer be profitable and they are slaughtered. In egg production, whether free range or not, hens have their beak painfully trimmed to prevent them injuring other hens due to the stress of confinement. They also experience a pre-mature death at around 80 weeks, when their natural life span is up to 8 years. Caged hens never see daylight and are restricted to space only slightly larger than a sheet of A4 paper. Male chicks are an unnecessary by-product of this process and are killed straight after hatching by incineration or gassing.   "
Does vegan food taste good?,"Yes it does! Our culture is all that limits us in eating an amazing selection of delicious vegan foods. We are increasingly programmed to eat highly processed and animal based diets. It is so much easier these days with plenty of vegan products and recipes available, and more coming into the market all the time"
Doesn’t the bible endorse eating animals?,"When it comes to food, the bible sends a lot of mixed messages. But there are some surprisingly pro-vegan bible passages. The Old Testament’s very first reference to food, Genesis 1:29, seems a clear admonition to be vegan:

And God said: ‘Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed—to you it shall be for food.

Later in the Old Testament, when God lays down which meats are permissible (kosher or halal), you get the sense he’s doing so begrudgingly, after being nagged into it by people lacking the fortitude to eat healthier vegan foods.

The Old Testament’s first book of Daniel likewise offers a strong endorsement for vegan eating. When Daniel and his companions visit the king, Daniel asks permission for the group to eat only vegetables and water for ten days. At the end of this time they’re in clearly superior health to other guests who ate animal-derived food from the king’s table.

To be clear, there are plenty of biblical references that support meat-eating. So no matter whether you want to be vegan or you want to eat meat, you’ll find biblical references to defend your position."
Don’t we need some animal products in our diet to be healthy?,"For those who might be concerned about meeting all their nutritional requirements with just plant foods, rest assured that even the mainstream and conservative Academy of Nutrition and Dietetics (formerly the American Dietetic Association, and described by www.eatright.org as “the world’s largest organization of food and nutrition professionals”) confirms that you do not need to eat animal products to maintain your health.

“It is the position of the American Dietetic Association that appropriately planned vegetarian diets, including total vegetarian or vegan diets, are healthful, nutritionally adequate and may provide health benefits in the prevention and treatment of certain diseases. Well-planned vegetarian diets are appropriate for individuals during all stages of the life-cycle including pregnancy, lactation, infancy, childhood and adolescence and for athletes.

Many people who become vegan report that their health greatly improves as a result. Perhaps, the lighter, healthier body that emerges with veganism is a reflection of a lighter, healthier conscience that comes with taking a stand against injustice and making a commitment to non-violence.

Finally, unlike the Atkins, Paleo, or South Beach diets, which are trendy fads, veganism is neither a fad nor a diet, but a stand against injustice and commitment to non-violence that impacts one’s eating choices because of ethical considerations. Nevertheless, the growing number of strong, active vegans are a testament to the fact that one doesn’t have to sacrifice one’s physical health to embrace a more gentle way of life."
Eating fish doesn’t cause suffering.,"Yes it does. Numerous scientific studies have confirmed that fish do feel pain. Industrial fishing causes them immense suffering because they are killed either by being crushed in the net, having their swim bladders explode when they are brought to the surface or by asphyxiating (being starved of oxygen) on the decks of trawlers. Many fish, especially salmon, are also now intensively farmed and suffer from infectious illnesses, parasites and overcrowding."
Environmental veganism,"Environmental vegans focus on conservation, rejecting the use of animal products on the premise that fishing, hunting, trapping and farming, particularly factory farming, are environmentally unsustainable. In 2010, Paul Watson of the Sea Shepherd Conservation Society called pigs and chicken ""major aquatic predators"", because livestock eat 40 percent of the fish that are caught.[21] Since 2002, all Sea Shepherd ships have been vegan for environmental reasons. This specific form of veganism focuses its way of living on how to have a sustainable way of life without consuming animals.[308]

According to a 2006 United Nations Food and Agriculture Organization report, Livestock's Long Shadow, around 26% of the planet's terrestrial surface is devoted to livestock grazing.[309] The UN report also concluded that livestock farming (mostly of cows, chickens and pigs) affects the air, land, soil, water, biodiversity and climate change.[310] Livestock consumed 1,174 million tonnes of food in 2002—including 7.6 million tonnes of fishmeal and 670 million tonnes of cereals, one-third of the global cereal harvest.[311] A 2017 study published in the journal Carbon Balance and Management found animal agriculture's global methane emissions are 11% higher than previous estimates based on data from the Intergovernmental Panel on Climate Change.[312] A 2018 study found that global adoption of plant-based diets would reduce agricultural land use by 76% (3.1 billion hectares, an area the size of Africa) and cut total global greenhouse gas emissions by 28% (half of this emissions reduction came from avoided emissions from animal production including methane and nitrous oxide, and half came from trees re-growing on abandoned farmland which remove carbon dioxide from the air).[313][314]


Reduction of one's carbon footprint for various actions. A plant-based diet in this study referred to a lacto-ovo vegetarian diet. Vegan diets are known to have lower carbon footprints.[315]
A 2010 UN report, Assessing the Environmental Impacts of Consumption and Production, argued that animal products ""in general require more resources and cause higher emissions than plant-based alternatives"".[316]:80 It proposed a move away from animal products to reduce environmental damage.[v][317] A 2007 Cornell University study concluded that vegetarian diets use the least land per capita, but require higher quality land than is needed to feed animals.[318] A 2015 study determined that significant biodiversity loss can be attributed to the growing demand for meat, which is a significant driver of deforestation and habitat destruction, with species-rich habitats being converted to agriculture for livestock production.[319] A 2017 study by the World Wildlife Fund found that 60% of biodiversity loss can be attributed to the vast scale of feed crop cultivation needed to rear tens of billions of farm animals, which puts an enormous strain on natural resources resulting in an extensive loss of lands and species.[320] Livestock make up 60% of the biomass of all mammals on earth, followed by humans (36%) and wild mammals (4%). As for birds, 70% are domesticated, such as poultry, whereas only 30% are wild.[321][322] In November 2017, 15,364 world scientists signed a warning to humanity calling for, among other things, ""promoting dietary shifts towards mostly plant-based foods"".[323] The 2019 IPBES Global Assessment Report on Biodiversity and Ecosystem Services found that industrial agriculture and overfishing are the primary drivers of the extinction crisis, with the meat and dairy industries having a substantial impact.[324][325] On August 8, 2019, the IPCC released a summary of the 2019 special report which asserted that a shift towards plant-based diets would help to mitigate and adapt to climate change.[326]"
Ethical veganism,"Ethical veganism, also known as moral vegetarianism, is based on opposition to speciesism, the assignment of value to individuals on the basis of (animal) species membership alone. Divisions within animal rights theory include the utilitarian, protectionist approach, which pursues improved conditions for animals. It also pertains to the rights-based abolitionism, which seeks to end human ownership of non-humans, including as pets. Abolitionists argue that protectionism serves only to make the public feel that animal use can be morally unproblematic (the ""happy meat"" position).[19]:62–63

Donald Watson, the first vegan activist and founder of The Vegan Society, stated in response to a question on why he was an ethical vegan, ""If an open-minded, honest person pursues a course long enough, and listens to all the criticisms, and in one's own mind can satisfactorily meet all the criticisms against that idea, sooner or later one's resistance against what one sees as evil tradition has to be discarded.""[289] On bloodsports, he has said that ""to kill creatures for fun must be the very dregs,"" and that vivisection and animal experimentation ""is probably the cruelest of all Man's attack on the rest of Creation."" He has also stated that ""vegetarianism, whilst being a necessary stepping-stone, between meat eating and veganism, is only a stepping stone.""[289]

Alex Hershaft, co-founder of the Farm Animal Rights Movement and Holocaust survivor, states he ""was always bothered by the idea of hitting a beautiful, living, innocent animal over the head, cutting him up into pieces, then shoving the pieces into [his] mouth,"" and that his experiences in the Nazi Holocaust allowed him ""to emphasize with the conditions of animals in factory farms, auction yards, and slaughterhouses"" because he ""knows firsthand what it's like to be treated like a worthless object.""[290]

Law professor Gary Francione, an abolitionist, argues that all sentient beings should have the right not to be treated as property, and that adopting veganism must be the baseline for anyone who believes that non-humans have intrinsic moral value.[u][19]:62 Philosopher Tom Regan, also a rights theorist, argues that animals possess value as ""subjects-of-a-life"", because they have beliefs, desires, memory and the ability to initiate action in pursuit of goals. The right of subjects-of-a-life not to be harmed can be overridden by other moral principles, but Regan argues that pleasure, convenience and the economic interests of farmers are not weighty enough.[292] Philosopher Peter Singer, a protectionist and utilitarian, argues that there is no moral or logical justification for failing to count animal suffering as a consequence when making decisions, and that killing animals should be rejected unless necessary for survival.[293] Despite this, he writes that ""ethical thinking can be sensitive to circumstances"", and that he is ""not too concerned about trivial infractions"".[294]

An argument proposed by Bruce Friedrich, also a protectionist, holds that strict adherence to veganism harms animals, because it focuses on personal purity, rather than encouraging people to give up whatever animal products they can.[295] For Francione, this is similar to arguing that, because human-rights abuses can never be eliminated, we should not defend human rights in situations we control. By failing to ask a server whether something contains animal products, we reinforce that the moral rights of animals are a matter of convenience, he argues. He concludes from this that the protectionist position fails on its own consequentialist terms.[19]:72–73

Philosopher Val Plumwood maintained that ethical veganism is ""subtly human-centred"", an example of what she called ""human/nature dualism"" because it views humanity as separate from the rest of nature. Ethical vegans want to admit non-humans into the category that deserves special protection, rather than recognize the ""ecological embeddedness"" of all.[296] Plumwood wrote that animal food may be an ""unnecessary evil"" from the perspective of the consumer who ""draws on the whole planet for nutritional needs""—and she strongly opposed factory farming—but for anyone relying on a much smaller ecosystem, it is very difficult or impossible to be vegan.[297]

Bioethicist Ben Mepham,[298] in his review of Francione and Garner's book The Animal Rights Debate: Abolition or Regulation?, concludes that ""if the aim of ethics is to choose the right, or best, course of action in specific circumstances 'all things considered', it is arguable that adherence to such an absolutist agenda is simplistic and open to serious self-contradictions. Or, as Farlie puts it, with characteristic panache: 'to conclude that veganism is the ""only ethical response"" is to take a big leap into a very muddy pond'.""[299] He cites as examples the adverse effects on animal wildlife derived from the agricultural practices necessary to sustain most vegan diets and the ethical contradiction of favoring the welfare of domesticated animals but not that of wild animals; the imbalance between the resources that are used to promote the welfare of animals as opposed to those destined to alleviate the suffering of the approximately one billion human beings who undergo malnutrition, abuse, and exploitation; the focus on attitudes and conditions in western developed countries, leaving out the rights and interests of societies whose economy, culture and, in some cases, survival rely on a symbiotic relationship with animals.[299]

David Pearce, a transhumanist philosopher, has argued that humanity has a ""hedonistic imperative"" to not merely avoid cruelty to animals or abolish the ownership of non-human animals, but also to redesign the global ecosystem such that wild animal suffering ceases to exist.[300] In the pursuit of abolishing suffering itself, Pearce promotes predation elimination among animals and the ""cross-species global analogue of the welfare state"". Fertility regulation could maintain herbivore populations at sustainable levels, ""a more civilised and compassionate policy option than famine, predation, and disease"".[301] The increasing number of vegans and vegetarians in the transhumanism movement has been attributed in part to Pearce's influence.[302]

A growing political philosophy that incorporates veganism as part of its revolutionary praxis is veganarchism, which seeks ""total abolition"" or ""total liberation"" for all animals, including humans. Veganarchists identify the state as unnecessary and harmful to animals, both human and non-human, and advocate for the adoption of a vegan lifestyle within a stateless society. The term was popularized in 1995 with Brian A. Dominick's pamphlet Animal Liberation and Social Revolution, described as ""a vegan perspective on anarchism or an anarchist perspective on veganism"".[303]

Direct action is a common practice among veganarchists (and anarchists generally) with groups like the Animal Liberation Front (ALF) and Revolutionary Cells – Animal Liberation Brigade (RCALB) often engaging in such activities, sometimes criminally, to further their goals. Steven Best, animal rights activist and professor of philosophy at the University of Texas at El Paso, is an advocate of this approach, and has been critical of vegan activists like Francione for supporting animal liberation, but not total liberation, which would include not only opposition to ""the property status of animals"", but also ""a serious critique of capitalism, the state, property relations, and commodification dynamics in general."" In particular, he criticizes the focus on the simplistic and apolitical ""Go Vegan"" message directed mainly at wealthy Western audiences, while ignoring people of color, the working class and the poor, especially in the developing world, noting that ""for every person who becomes vegan, a thousand flesh eaters arise in China, India and Indonesia."" The ""faith in the singular efficacy of conjectural education and moral persuasion,"" Best writes, is no substitute for ""direct action, mass confrontation, civil disobedience, alliance politics, and struggle for radical change.""[304] Donald Watson has stated that he ""respects the people enormously who do it, believing that it's the most direct and quick way to achieve their ends.""[289]

Some vegans also embrace the philosophy of anti-natalism, as they see the two as complementary in terms of ""harm reduction"" to animals and the environment.[305]"
Farm Animal Suffering in Agribusiness,"As unsettling as slaughter may be to contemplate, it’s only the starting point for becoming acquainted with the ethical issues surrounding the raising of animals. It’s probable that most of the suffering and cruelty tied to the meat, dairy, and egg industries relates to how the animals are raised rather than how they are killed. I know that thinking about animal suffering is extraordinarily unpleasant, and it’s only natural to want to turn away from hearing the gory details. If you find yourself especially troubled by having to listen to this awful stuff, perhaps that right there is the best reason of all to move towards a vegan diet. As we’re about to see, if you wanted to design a system that torments countless billions of animals in a multitude of disturbing ways, the methods employed by modern-day factory farming would be impossible to beat. Each year, about 50 billion farm animals are subjected to factory farm conditions.1 Let’s now look at what they face."
Fish and other sea animals,"Half of all plastic in the sea comes from fishing. Three quarters of the world's fisheries are either exploited or depleted. We kill between 1 and 2.8 trillion fish every year. This is 143-400x the amount of the entire human population.308,000 cetaceans are inintentionally drowned each year after becoming entangled in fishing equipment. Farmed salmon has 10x the amount of cancer-causing organic pollutants than wild salmon. For every pound of fish caught, up to 5 pounds of unintended marine species are caught and discarded as by-kill. Sharks kill 12 people per year. People kill 11,414 sharks per hour. "
God put animals on earth for us to eat.,"Most of us in the UK do not follow religious rules in our lives - but even amongst people with strong religious faith, there is considerable disagreement about whether God wants us to eat animals. No major religions command their followers to eat meat and many devout Christians, Moslems, Buddhists and Jews are vegetarian as are all Hare Krishnas and Jains. Most Hindus, of course, eat no red meat. For most religious people the question remains one of individual judgement. Most religions, however, celebrate compassion, kindness and mercy. The abattoir and the factory farm do not seem consistent with that."
Haven’t we evolved to eat meat? It’s natural!,"There’s no doubt that at many times in history, especially during periods of war and famine, the ability for people to eat meat helped ensure their survival. Likewise, there are some parts of the world today where local populations depend of fish, poultry, or livestock for protein and calories. That’s because marginal lands that won’t support agriculture can often still support the grazing of livestock, and some coastal areas have insufficient land for farming but access to substantial amounts of fish.

That said, few people living in developed countries can credibly claim that their survival depends on animal products. In terms of nutrition, there’s nothing in animal products that isn’t readily available from a well-planned vegan diet.

And if we were really intent on feeding the world, we would stop feeding a huge portion of the worldwide grain crop to livestock (which entails massive food waste), and instead grow grains for human consumption."
History & Origins,"The practice can be traced to Indus Valley Civilization in 3300–1300 BCE in the Indian subcontinent,[49][50][51] particularly in northern and western ancient India.[52] Early vegetarians included Indian philosophers such as Mahavira and Acharya Kundakunda, the Tamil poet Valluvar, the Indian emperors Chandragupta Maurya and Ashoka; Greek philosophers such as Empedocles, Theophrastus, Plutarch, Plotinus, and Porphyry; and the Roman poet Ovid and the playwright Seneca the Younger.[53][54] The Greek sage Pythagoras may have advocated an early form of strict vegetarianism,[55][56] but his life is so obscure that it is disputed whether he ever advocated any form of vegetarianism at all.[57] He almost certainly prohibited his followers from eating beans[57] and from wearing woolen garments.[57] Eudoxus of Cnidus, a student of Archytas and Plato, writes that ""Pythagoras was distinguished by such purity and so avoided killing and killers that he not only abstained from animal foods, but even kept his distance from cooks and hunters"".[57] One of the earliest known vegans was the Arab poet al-Maʿarri (c. 973 – c. 1057).[a][58] Their arguments were based on health, the transmigration of souls, animal welfare, and the view—espoused by Porphyry in De Abstinentia ab Esu Animalium (""On Abstinence from Animal Food"", c. 268 – c. 270)—that if humans deserve justice, then so do animals.[53]

Vegetarianism established itself as a significant movement in 19th-century Britain and the United States.[59] A minority of vegetarians avoided animal food entirely.[60] In 1813, the poet Percy Bysshe Shelley published A Vindication of Natural Diet, advocating ""abstinence from animal food and spirituous liquors"", and in 1815, William Lambe, a London physician, stated that his ""water and vegetable diet"" could cure anything from tuberculosis to acne.[61] Lambe called animal food a ""habitual irritation"", and argued that ""milk eating and flesh-eating are but branches of a common system and they must stand or fall together"".[62] Sylvester Graham's meatless Graham diet—mostly fruit, vegetables, water, and bread made at home with stoneground flour—became popular as a health remedy in the 1830s in the United States.[63] Several vegan communities were established around this time. In Massachusetts, Amos Bronson Alcott, father of the novelist Louisa May Alcott, opened the Temple School in 1834 and Fruitlands in 1844,[64][j] and in England, James Pierrepont Greaves founded the Concordium, a vegan community at Alcott House on Ham Common, in 1838.[4][66]"
"How do I know if a coconut or coconut-containing product has been picked by monkeys, not humans?",It was brought to our attention in early 2016 that monkeys may be being used to harvest coconuts in South East Asian countries. Since then we have been conducting research and contacting suppliers. The majority of coconut suppliers we have spoken to confirm that humans with long sticks or machinery are used in the harvesting process in these regions. Rarely do they know of any cases that animals are used.
How hard is it to really become a vegan?,"Nearly every single vegan you ask will tell you the transition was much easier than they expected. While becoming vegan may sound difficult right now, you’ll no doubt be shocked by how easy this is, especially if you take the time to read up on the topic."
